31401	C01	94
31402	C01	40
31403	C01	40
31404	C01	40
31405	C01	40
31406	C01	40
31407	C01	40
31408	C01	40
31409	C01	40
31411	C01	97
31412	C01	40
31413	C01	91
31414	C01	40
31415	C01	40
31416	C01	40
31417	C01	97
31418	C01	55
31419	C01	86
31420	C01	40
31422	C01	40
31423	C01	40
31424	C01	40
31426	C01	40
31427	C01	40
31428	C01	40
31401	C02	65
31403	C02	84
31404	C02	40
31406	C02	86
31407	C02	92
31408	C02	40
31409	C02	40
31411	C02	61
31412	C02	40
31414	C02	94
31415	C02	40
31416	C02	63
31417	C02	94
31418	C02	93
31419	C02	40
31420	C02	40
31422	C02	85
31423	C02	40
31424	C02	88
31425	C02	40
31426	C02	96
31427	C02	88
31428	C02	40
31403	C03	40
31404	C03	98
31405	C03	60
31406	C03	40
31407	C03	65
31408	C03	40
31409	C03	65
31410	C03	40
31411	C03	50
31412	C03	56
31413	C03	40
31414	C03	53
31415	C03	50
31417	C03	40
31418	C03	50
31419	C03	88
31420	C03	57
31422	C03	40
31423	C03	40
31424	C03	92
31426	C03	40
31428	C03	40
30201	C03	40
30202	C03	40
30203	C03	57
30204	C03	54
30206	C03	40
30207	C03	82
30208	C03	40
30209	C03	40
30212	C03	50
30213	C03	88
30214	C03	50
30215	C03	40
30216	C03	40
30218	C03	40
30219	C03	95
30220	C03	68
30221	C03	40
30222	C03	53
30223	C03	83
30225	C03	40
30226	C03	40
30227	C03	50
30228	C03	83
30201	C04	88
30202	C04	40
30203	C04	50
30204	C04	50
30206	C04	40
30207	C04	40
30208	C04	40
30209	C04	88
30211	C04	40
30212	C04	91
30214	C04	50
30215	C04	61
30216	C04	53
30218	C04	60
30219	C04	40
30220	C04	87
30221	C04	50
30222	C04	60
30223	C04	53
30224	C04	90
30225	C04	40
30226	C04	40
30228	C04	59
30201	C05	93
30203	C05	40
30204	C05	40
30206	C05	50
30207	C05	40
30208	C05	97
30210	C05	40
30212	C05	40
30213	C05	59
30214	C05	40
30215	C05	50
30216	C05	50
30217	C05	66
30218	C05	40
30219	C05	40
30220	C05	40
30221	C05	40
30222	C05	50
30223	C05	40
30224	C05	40
30225	C05	50
30226	C05	50
30227	C05	82
30228	C05	40
31402	C03	
31401	C03	
